# Frequcency table of the items in the chess.dat dataset

First column = frequency, sorted low to high
Second column = item identifier

obtained from:
http://fimi.ua.ac.be/data/
http://fimi.ua.ac.be/data/chess.dat

      1 59
     11 53
     15 30
     26 41
     47 61
     97 37
    120 8
    136 63
    156 35
    175 57
    175 67
    183 49
    224 33
    225 6
    322 10
    336 26
    357 4
    446 32
    482 43
    565 65
    584 45
    640 47
    696 18
    789 75
    851 73
    971 22
    980 55
    991 28
   1000 39
   1067 12
   1170 16
   1189 71
   1212 69
   1216 20
   1221 51
   1379 24
   1474 14
   1527 2
   1669 1
   1722 13
   1817 23
   1975 50
   1980 19
   1984 68
   2007 70
   2026 15
   2129 11
   2196 38
   2205 27
   2216 54
   2225 21
   2345 72
   2407 74
   2500 17
   2526 31
   2556 46
   2612 44
   2631 64
   2714 42
   2839 3
   2860 25
   2874 9
   2971 5
   3013 48
   3021 56
   3021 66
   3040 34
   3060 62
   3076 7
   3099 36
   3149 60
   3170 40
   3181 29
   3185 52
   3195 58
